,2017,Rank_2018,city_county,state,type,Rank_In_State_2018,zips
1855,32883.0,,Montgomery,Mississippi,county,43.0,
1856,35409.0,,Neshoba,Mississippi,county,24.0,
1857,33778.0,,Newton,Mississippi,county,39.0,39345
1858,31581.0,,Noxubee,Mississippi,county,56.0,
1859,32748.0,,Oktibbeha,Mississippi,county,42.0,
1860,31684.0,,Panola,Mississippi,county,58.0,39149
1861,34803.0,,Pearl River,Mississippi,county,27.0,39208
1862,30674.0,,Perry,Mississippi,county,64.0,39170
1863,29966.0,,Pike,Mississippi,county,70.0,39146
1864,31956.0,,Pontotoc,Mississippi,county,55.0,38863
1865,29794.0,,Prentiss,Mississippi,county,72.0,39474
1866,25162.0,,Quitman,Mississippi,county,81.0,39355
1867,43135.0,,Rankin,Mississippi,county,2.0,39556
1868,30866.0,,Scott,Mississippi,county,62.0,
1869,30238.0,,Sharkey,Mississippi,county,63.0,
1870,35865.0,,Simpson,Mississippi,county,22.0,
1871,34495.0,,Smith,Mississippi,county,29.0,39664
1872,30560.0,,Stone,Mississippi,county,67.0,
1873,28926.0,,Sunflower,Mississippi,county,71.0,38778
1874,27157.0,,Tallahatchie,Mississippi,county,79.0,39145
1875,33572.0,,Tate,Mississippi,county,34.0,
1876,32614.0,,Tippah,Mississippi,county,45.0,
1877,31711.0,,Tishomingo,Mississippi,county,50.0,38873
1878,31035.0,,Tunica,Mississippi,county,59.0,38676
1879,31432.0,,Union,Mississippi,county,61.0,39365
1880,31271.0,,Walthall,Mississippi,county,66.0,39771
1881,37983.0,,Warren,Mississippi,county,7.0,
1882,35916.0,,Washington,Mississippi,county,18.0,
1883,33261.0,,Wayne,Mississippi,county,36.0,39367
1884,36973.0,,Webster,Mississippi,county,13.0,39192
1885,28516.0,,Wilkinson,Mississippi,county,75.0,
1886,34214.0,,Winston,Mississippi,county,31.0,
1887,35020.0,,Yalobusha,Mississippi,county,23.0,38773
1888,26303.0,,Yazoo,Mississippi,county,80.0,39194
1889,26303.0,,Yazoo,Mississippi,county,80.0,39194
1890,31995.0,,Adair,Missouri,county,88.0,
1891,43627.0,,Andrew,Missouri,county,14.0,
1892,46852.0,,Atchison,Missouri,county,22.0,64496
1893,38248.0,,Audrain,Missouri,county,41.0,64720
1894,32994.0,,Barry,Missouri,county,76.0,63343
1895,35305.0,,Barton,Missouri,county,68.0,
1896,37826.0,,Bates,Missouri,county,50.0,64011
1897,35088.0,,Benton,Missouri,county,65.0,63736
1898,31359.0,,Bollinger,Missouri,county,96.0,65610
1899,46027.0,,Boone,Missouri,county,6.0,63628
1900,38364.0,,Buchanan,Missouri,county,44.0,
1901,34743.0,,Butler,Missouri,county,71.0,64730
1902,35671.0,,Caldwell,Missouri,county,59.0,63829
1903,37438.0,,Callaway,Missouri,county,53.0,63534
1904,37080.0,,Camden,Missouri,county,52.0,64017
1905,44258.0,,Cape Girardeau,Missouri,county,10.0,"63701,63703"
1906,44818.0,,Carroll,Missouri,county,15.0,64633
1907,31202.0,,Carter,Missouri,county,100.0,64835
1908,45599.0,,Cass,Missouri,county,8.0,65625
1909,30695.0,,Cedar,Missouri,county,101.0,63016
1910,42176.0,,Chariton,Missouri,county,25.0,63834
1911,38955.0,,Christian,Missouri,county,39.0,
1912,34877.0,,Clark,Missouri,county,77.0,65243
1913,46747.0,,Clay,Missouri,county,4.0,
1914,42067.0,,Clinton,Missouri,county,18.0,64735
1915,45975.0,,Cole,Missouri,county,5.0,65325
1916,37778.0,,Cooper,Missouri,county,48.0,
1917,34420.0,,Crawford,Missouri,county,64.0,63441
1918,33394.0,,Dade,Missouri,county,81.0,65635
1919,31995.0,,Dallas,Missouri,county,92.0,65766
1920,33550.0,,Daviess,Missouri,county,78.0,
1921,27762.0,,DeKalb,Missouri,county,112.0,64440
1922,31694.0,,Dent,Missouri,county,91.0,65020
1923,27092.0,,Douglas,Missouri,county,111.0,
1924,32503.0,,Dunklin,Missouri,county,83.0,65051
1925,43552.0,,Franklin,Missouri,county,11.0,65250
1926,38720.0,,Gasconade,Missouri,county,38.0,
1927,42137.0,,Gentry,Missouri,county,29.0,64453
1928,43187.0,,Greene,Missouri,county,16.0,63334
1929,33951.0,,Grundy,Missouri,county,75.0,
1930,37243.0,,Harrison,Missouri,county,55.0,64701
1931,41289.0,,Henry,Missouri,county,17.0,64453
1932,26925.0,,Hickory,Missouri,county,115.0,
1933,46192.0,,Holt,Missouri,county,13.0,64048
1934,37770.0,,Howard,Missouri,county,51.0,
1935,32414.0,,Howell,Missouri,county,84.0,65730
1936,32809.0,,Iron,Missouri,county,82.0,63648
1937,45310.0,,Jackson,Missouri,county,9.0,63755
1938,39267.0,,Jasper,Missouri,county,42.0,64755
1939,40783.0,,Jefferson,Missouri,county,20.0,"65101,65109"
1940,35492.0,,Johnson,Missouri,county,62.0,
1941,32511.0,,Knox,Missouri,county,94.0,63446
1942,35355.0,,Laclede,Missouri,county,63.0,64651
1943,41244.0,,Lafayette,Missouri,county,26.0,65248
1944,32930.0,,Lawrence,Missouri,county,80.0,63437
1945,34177.0,,Lewis,Missouri,county,72.0,63452
1946,39371.0,,Lincoln,Missouri,county,32.0,65338
1947,37897.0,,Linn,Missouri,county,36.0,65051
1948,38646.0,,Livingston,Missouri,county,45.0,64650
1949,27565.0,,McDonald,Missouri,county,114.0,63552
1950,40803.0,,Macon,Missouri,county,23.0,63552
1951,35592.0,,Madison,Missouri,county,61.0,65263
1952,31914.0,,Maries,Missouri,county,89.0,65275
1953,39193.0,,Marion,Missouri,county,31.0,65705
1954,34160.0,,Mercer,Missouri,county,97.0,64661
1955,34602.0,,Miller,Missouri,county,70.0,65707
1956,32205.0,,Mississippi,Missouri,county,98.0,
1957,36487.0,,Moniteau,Missouri,county,58.0,65591
1958,39876.0,,Monroe,Missouri,county,21.0,63456
1959,41245.0,,Montgomery,Missouri,county,35.0,63361
1960,41398.0,,Morgan,Missouri,county,19.0,65345
1961,32116.0,,New Madrid,Missouri,county,86.0,63869
1962,38011.0,,Newton,Missouri,county,46.0,64667
1963,29854.0,,Nodaway,Missouri,county,102.0,
1964,28216.0,,Oregon,Missouri,county,110.0,64473
1965,44031.0,,Osage,Missouri,county,12.0,65065
1966,29019.0,,Ozark,Missouri,county,105.0,65721
1967,31486.0,,Pemiscot,Missouri,county,93.0,
1968,39990.0,,Perry,Missouri,county,30.0,63462
1969,36732.0,,Pettis,Missouri,county,56.0,
1970,37711.0,,Phelps,Missouri,county,47.0,
1971,34128.0,,Pike,Missouri,county,74.0,
1972,57099.0,,Platte,Missouri,county,2.0,64079
1973,32640.0,,Polk,Missouri,county,87.0,65727
1974,39638.0,,Pulaski,Missouri,county,34.0,
1975,33888.0,,Putnam,Missouri,county,85.0,
1976,40118.0,,Ralls,Missouri,county,33.0,65255
1977,38342.0,,Randolph,Missouri,county,43.0,
1978,40694.0,,Ray,Missouri,county,24.0,64624
1979,33096.0,,Reynolds,Missouri,county,73.0,
1980,30026.0,,Ripley,Missouri,county,104.0,65286
1981,51137.0,,St. Charles,Missouri,county,3.0,"63301,63303,63304"
1982,29011.0,,St. Clair,Missouri,county,106.0,63077
1983,38041.0,,Ste. Genevieve,Missouri,county,27.0,63670
1984,32899.0,,St. Francois,Missouri,county,79.0,
1985,67368.0,,St. Louis,Missouri,county,1.0,63367
1986,38453.0,,Saline,Missouri,county,54.0,63670
1987,27926.0,,Schuyler,Missouri,county,109.0,64635
1988,32456.0,,Scotland,Missouri,county,90.0,65567
1989,39067.0,,Scott,Missouri,county,40.0,63780
1990,28352.0,,Shannon,Missouri,county,103.0,
1991,38567.0,,Shelby,Missouri,county,36.0,63469
1992,36037.0,,Stoddard,Missouri,county,60.0,
1993,37272.0,,Stone,Missouri,county,49.0,
1994,39075.0,,Sullivan,Missouri,county,57.0,63080
1995,34736.0,,Taney,Missouri,county,66.0,65759
1996,27080.0,,Texas,Missouri,county,113.0,
1997,36117.0,,Vernon,Missouri,county,67.0,65712
1998,39778.0,,Warren,Missouri,county,28.0,64093
1999,28414.0,,Washington,Missouri,county,107.0,63090
2000,29061.0,,Wayne,Missouri,county,108.0,65583
2001,31583.0,,Webster,Missouri,county,95.0,
2002,36159.0,,Worth,Missouri,county,69.0,64499
2003,30860.0,,Wright,Missouri,county,99.0,63390
2004,45137.0,,St. Louis City,Missouri,county,7.0,63735
2005,45137.0,,St. Louis City,Missouri,county,7.0,63735
2006,43053.0,,Beaverhead,Montana,county,28.0,
2007,28131.0,,Big Horn,Montana,county,56.0,59010
2008,29329.0,,Blaine,Montana,county,55.0,59006
2009,38075.0,,Broadwater,Montana,county,43.0,59416
2010,44912.0,,Carbon,Montana,county,19.0,59720
2011,45046.0,,Carter,Montana,county,32.0,59420
2012,45291.0,,Cascade,Montana,county,18.0,59421
2013,32696.0,,Chouteau,Montana,county,46.0,59422
2014,43211.0,,Custer,Montana,county,27.0,59024
2015,36517.0,,Daniels,Montana,county,16.0,
2016,41391.0,,Dawson,Montana,county,24.0,
2017,37837.0,,Deer Lodge,Montana,county,45.0,59722
2018,48075.0,,Fallon,Montana,county,8.0,59326
2019,41218.0,,Fergus,Montana,county,33.0,
2020,45604.0,,Flathead,Montana,county,20.0,
2021,52337.0,,Gallatin,Montana,county,2.0,59730
2022,35337.0,,Garfield,Montana,county,47.0,59436
2023,32465.0,,Glacier,Montana,county,53.0,
2024,45549.0,,Golden Valley,Montana,county,10.0,
2025,41675.0,,Granite,Montana,county,34.0,
2026,42696.0,,Hill,Montana,county,25.0,59837
2027,46643.0,,Jefferson,Montana,county,17.0,
2028,45571.0,,Judith Basin,Montana,county,7.0,
2029,37473.0,,Lake,Montana,county,42.0,
2030,47214.0,,Lewis and Clark,Montana,county,13.0,
2031,35086.0,,Liberty,Montana,county,39.0,59243
2032,33901.0,,Lincoln,Montana,county,50.0,59639
2033,37820.0,,McCone,Montana,county,38.0,59061
2034,46822.0,,Madison,Montana,county,11.0,59925
2035,43317.0,,Meagher,Montana,county,22.0,
2036,37968.0,,Mineral,Montana,county,40.0,
2037,47086.0,,Missoula,Montana,county,9.0,"59801,59802,59803,59804,59808"
2038,40034.0,,Musselshell,Montana,county,35.0,59059
2039,46050.0,,Park,Montana,county,15.0,
2040,34908.0,,Petroleum,Montana,county,49.0,
2041,36841.0,,Phillips,Montana,county,44.0,59858
2042,38417.0,,Pondera,Montana,county,36.0,
2043,32616.0,,Powder River,Montana,county,54.0,59762
2044,38803.0,,Powell,Montana,county,41.0,59468
2045,42098.0,,Prairie,Montana,county,26.0,
2046,42519.0,,Ravalli,Montana,county,29.0,59863
2047,55123.0,,Richland,Montana,county,1.0,59260
2048,33611.0,,Roosevelt,Montana,county,52.0,
2049,40705.0,,Rosebud,Montana,county,37.0,59347
2050,33508.0,,Sanders,Montana,county,51.0,59076
2051,51826.0,,Sheridan,Montana,county,3.0,59749
2052,47009.0,,Silver Bow,Montana,county,12.0,59081
2053,49065.0,,Stillwater,Montana,county,5.0,
2054,42167.0,,Sweet Grass,Montana,county,30.0,59484
2055,41597.0,,Teton,Montana,county,31.0,59430
2056,41874.0,,Toole,Montana,county,23.0,
2057,43436.0,,Treasure,Montana,county,14.0,
2058,44298.0,,Valley,Montana,county,21.0,
2059,33292.0,,Wheatland,Montana,county,48.0,59529
2060,48000.0,,Wibaux,Montana,county,6.0,59353
2061,49899.0,,Yellowstone,Montana,county,4.0,59758
2062,49899.0,,Yellowstone,Montana,county,4.0,59758
2063,46838.0,,Adams,Nebraska,county,39.0,68301
2064,46749.0,,Antelope,Nebraska,county,58.0,
2065,38440.0,,Arthur,Nebraska,county,59.0,69121
2066,47049.0,,Banner,Nebraska,county,5.0,68831
2067,50623.0,,Blaine,Nebraska,county,63.0,68008
2068,51707.0,,Boone,Nebraska,county,15.0,
2069,45096.0,,Box Butte,Nebraska,county,52.0,68722
2070,47471.0,,Boyd,Nebraska,county,11.0,
2071,47401.0,,Brown,Nebraska,county,25.0,68321
2072,51634.0,,Buffalo,Nebraska,county,14.0,68304
2073,47778.0,,Burt,Nebraska,county,31.0,68324
2074,44557.0,,Butler,Nebraska,county,54.0,69127
2075,50955.0,,Cass,Nebraska,county,18.0,
2076,49736.0,,Cedar,Nebraska,county,20.0,68015
2077,45521.0,,Chase,Nebraska,county,37.0,69142
2078,44551.0,,Cherry,Nebraska,county,68.0,
2079,47667.0,,Cheyenne,Nebraska,county,47.0,
2080,44165.0,,Clay,Nebraska,county,55.0,68933
2081,39161.0,,Colfax,Nebraska,county,81.0,
2082,56805.0,,Cuming,Nebraska,county,4.0,
2083,44158.0,,Custer,Nebraska,county,73.0,68327
2084,40534.0,,Dakota,Nebraska,county,85.0,68731
2085,36124.0,,Dawes,Nebraska,county,93.0,68337
2086,40642.0,,Dawson,Nebraska,county,82.0,68337
2087,39143.0,,Deuel,Nebraska,county,74.0,
2088,41756.0,,Dixon,Nebraska,county,75.0,68732
2089,45367.0,,Dodge,Nebraska,county,53.0,68633
2090,60202.0,,Douglas,Nebraska,county,2.0,68344
2091,49255.0,,Dundy,Nebraska,county,19.0,
2092,54567.0,,Fillmore,Nebraska,county,8.0,68357
2093,43032.0,,Franklin,Nebraska,county,56.0,68939
2094,41620.0,,Frontier,Nebraska,county,72.0,
2095,44954.0,,Furnas,Nebraska,county,41.0,
2096,47267.0,,Gage,Nebraska,county,34.0,68766
2097,39119.0,,Garden,Nebraska,county,88.0,
2098,41369.0,,Garfield,Nebraska,county,78.0,68938
2099,45414.0,,Gosper,Nebraska,county,22.0,68421
2100,39233.0,,Grant,Nebraska,county,83.0,69140
2101,41735.0,,Greeley,Nebraska,county,69.0,68842
2102,41813.0,,Hall,Nebraska,county,80.0,68368
2103,52577.0,,Hamilton,Nebraska,county,13.0,68843
2104,40488.0,,Harlan,Nebraska,county,50.0,68360
2105,41504.0,,Hayes,Nebraska,county,66.0,69032
2106,36388.0,,Hitchcock,Nebraska,county,90.0,
2107,51310.0,,Holt,Nebraska,county,26.0,
2108,51251.0,,Hooker,Nebraska,county,23.0,68031
2109,41389.0,,Howard,Nebraska,county,87.0,68943
2110,45580.0,,Jefferson,Nebraska,county,44.0,68733
2111,36160.0,,Johnson,Nebraska,county,92.0,68378
2112,53680.0,,Kearney,Nebraska,county,10.0,"68845,68847"
2113,42074.0,,Keith,Nebraska,county,62.0,
2114,57783.0,,Keya Paha,Nebraska,county,3.0,
2115,43458.0,,Kimball,Nebraska,county,77.0,69145
2116,43274.0,,Knox,Nebraska,county,46.0,
2117,47565.0,,Lancaster,Nebraska,county,33.0,
2118,44829.0,,Lincoln,Nebraska,county,60.0,"68502,68503,68504,68505,68506"
2119,41823.0,,Logan,Nebraska,county,91.0,68406
2120,49483.0,,Loup,Nebraska,county,67.0,68853
2121,47877.0,,McPherson,Nebraska,county,65.0,68733
2122,47981.0,,Madison,Nebraska,county,29.0,68748
2123,45743.0,,Merrick,Nebraska,county,51.0,
2124,46306.0,,Morrill,Nebraska,county,40.0,69358
2125,36183.0,,Nance,Nebraska,county,89.0,69301
2126,48198.0,,Nemaha,Nebraska,county,43.0,68414
2127,45687.0,,Nuckolls,Nebraska,county,28.0,
2128,51478.0,,Otoe,Nebraska,county,17.0,68417
2129,43716.0,,Pawnee,Nebraska,county,42.0,68420
2130,51096.0,,Perkins,Nebraska,county,12.0,
2131,51269.0,,Phelps,Nebraska,county,21.0,68865
2132,51176.0,,Pierce,Nebraska,county,7.0,68767
2133,46431.0,,Platte,Nebraska,county,36.0,69101
2134,47203.0,,Polk,Nebraska,county,27.0,68654
2135,43499.0,,Red Willow,Nebraska,county,61.0,69171
2136,46076.0,,Richardson,Nebraska,county,48.0,68337
2137,53598.0,,Rock,Nebraska,county,38.0,68942
2138,41042.0,,Saline,Nebraska,county,79.0,68055
2139,48385.0,,Sarpy,Nebraska,county,30.0,
2140,49967.0,,Saunders,Nebraska,county,24.0,69027
2141,41969.0,,Scotts Bluff,Nebraska,county,76.0,69361
2142,47742.0,,Seward,Nebraska,county,35.0,68434
2143,42935.0,,Sheridan,Nebraska,county,57.0,68029
2144,38751.0,,Sherman,Nebraska,county,70.0,68029
2145,43225.0,,Sioux,Nebraska,county,84.0,68776
2146,44814.0,,Stanton,Nebraska,county,49.0,68779
2147,49838.0,,Thayer,Nebraska,county,6.0,
2148,51695.0,,Thomas,Nebraska,county,16.0,
2149,41500.0,,Thurston,Nebraska,county,86.0,68062
2150,42957.0,,Valley,Nebraska,county,64.0,68064
2151,54969.0,,Washington,Nebraska,county,9.0,68068
2152,43428.0,,Wayne,Nebraska,county,71.0,68787
2153,45263.0,,Webster,Nebraska,county,45.0,68464
2154,60085.0,,Wheeler,Nebraska,county,1.0,
2155,47461.0,,York,Nebraska,county,32.0,68467
2156,47461.0,,York,Nebraska,county,32.0,68467
2157,41609.0,,Churchill,Nevada,county,10.0,
2158,45087.0,,Clark,Nevada,county,6.0,
2159,70128.0,,Douglas,Nevada,county,1.0,
2160,44746.0,,Elko,Nevada,county,8.0,89801
2161,43346.0,,Esmeralda,Nevada,county,11.0,
2162,37990.0,,Eureka,Nevada,county,12.0,89316
2163,45977.0,,Humboldt,Nevada,county,7.0,
2164,60805.0,,Lander,Nevada,county,2.0,89010
2165,35087.0,,Lincoln,Nevada,county,16.0,
2166,36999.0,,Lyon,Nevada,county,13.0,
2167,36585.0,,Mineral,Nevada,county,14.0,
2168,36551.0,,Nye,Nevada,county,15.0,89415
2169,32938.0,,Pershing,Nevada,county,17.0,
2170,52606.0,,Storey,Nevada,county,3.0,89301
2171,56151.0,,Washoe,Nevada,county,4.0,89704
2172,42007.0,,White Pine,Nevada,county,9.0,
2173,48065.0,,Carson City,Nevada,county,5.0,"89701,89703,89705,89706"
2174,48065.0,,Carson City,Nevada,county,5.0,"89701,89703,89705,89706"
2175,58036.0,,Belknap,New Hampshire,county,3.0,
2176,56486.0,,Carroll,New Hampshire,county,5.0,
2177,49671.0,,Cheshire,New Hampshire,county,7.0,03870
2178,41448.0,,Coos,New Hampshire,county,10.0,
2179,57494.0,,Grafton,New Hampshire,county,4.0,03240
2180,58305.0,,Hillsborough,New Hampshire,county,2.0,03244
2181,55169.0,,Merrimack,New Hampshire,county,6.0,03054
2182,70163.0,,Rockingham,New Hampshire,county,1.0,03581
2183,48263.0,,Strafford,New Hampshire,county,9.0,03884
2184,49427.0,,Sullivan,New Hampshire,county,8.0,03445
2185,49427.0,,Sullivan,New Hampshire,county,8.0,03445
2186,46549.0,,Atlantic,New Jersey,county,19.0,08401
2187,81483.0,,Bergen,New Jersey,county,4.0,07621
2188,59389.0,,Burlington,New Jersey,county,10.0,08016
2189,51852.0,,Camden,New Jersey,county,16.0,"08102,08103,08104,08105"
2190,57976.0,,Cape May,New Jersey,county,13.0,08204
2191,38630.0,,Cumberland,New Jersey,county,21.0,08009
2192,64232.0,,Essex,New Jersey,county,8.0,07021
2193,52455.0,,Gloucester,New Jersey,county,15.0,08030
2194,62461.0,,Hudson,New Jersey,county,9.0,
2195,84958.0,,Hunterdon,New Jersey,county,3.0,
2196,65877.0,,Mercer,New Jersey,county,6.0,
2197,58172.0,,Middlesex,New Jersey,county,12.0,08846
2198,75762.0,,Monmouth,New Jersey,county,5.0,07703
2199,93555.0,,Morris,New Jersey,county,2.0,07950
2200,49749.0,,Ocean,New Jersey,county,17.0,08226
2201,48294.0,,Passaic,New Jersey,county,18.0,07055
2202,46435.0,,Salem,New Jersey,county,20.0,08079
2203,99533.0,,Somerset,New Jersey,county,1.0,08873
2204,58717.0,,Sussex,New Jersey,county,11.0,07461
2205,65036.0,,Union,New Jersey,county,7.0,07083
2206,53405.0,,Warren,New Jersey,county,14.0,07059
2207,53405.0,,Warren,New Jersey,county,14.0,07059
2208,42112.0,,Bernalillo,New Mexico,county,6.0,87004
2209,30739.0,,Catron,New Mexico,county,29.0,
2210,38118.0,,Chaves,New Mexico,county,11.0,
2211,27098.0,,Cibola,New Mexico,county,32.0,
2212,38637.0,,Colfax,New Mexico,county,12.0,
2213,43467.0,,Curry,New Mexico,county,5.0,
2214,38634.0,,De Baca,New Mexico,county,13.0,87557
2215,35144.0,,Doña Ana,New Mexico,county,19.0,
2216,47687.0,,Eddy,New Mexico,county,3.0,
2217,38237.0,,Grant,New Mexico,county,10.0,87020
2218,31501.0,,Guadalupe,New Mexico,county,27.0,87722
2219,36820.0,,Harding,New Mexico,county,16.0,
2220,38969.0,,Hidalgo,New Mexico,county,8.0,
2221,38167.0,,Lea,New Mexico,county,4.0,87009
2222,39661.0,,Lincoln,New Mexico,county,7.0,88338
2223,67791.0,,Los Alamos,New Mexico,county,1.0,87544
2224,29887.0,,Luna,New Mexico,county,30.0,
2225,26636.0,,McKinley,New Mexico,county,33.0,
2226,34013.0,,Mora,New Mexico,county,20.0,87732
2227,33339.0,,Otero,New Mexico,county,23.0,87743
2228,36686.0,,Quay,New Mexico,county,18.0,88433
2229,33084.0,,Rio Arriba,New Mexico,county,24.0,87560
2230,39614.0,,Roosevelt,New Mexico,county,14.0,
2231,39928.0,,Sandoval,New Mexico,county,9.0,
2232,33613.0,,San Juan,New Mexico,county,21.0,
2233,32971.0,,San Miguel,New Mexico,county,25.0,
2234,55273.0,,Santa Fe,New Mexico,county,2.0,"87501,87505,87506,87507,87508"
2235,38415.0,,Sierra,New Mexico,county,15.0,87575
2236,32718.0,,Socorro,New Mexico,county,22.0,87801
2237,36575.0,,Taos,New Mexico,county,17.0,87571
2238,29072.0,,Torrance,New Mexico,county,31.0,
2239,32519.0,,Union,New Mexico,county,28.0,
2240,32111.0,,Valencia,New Mexico,county,26.0,
2241,32111.0,,Valencia,New Mexico,county,26.0,
2242,59429.0,,Albany,New York,county,7.0,"12202,12203,12204,12205,12206"
2243,34137.0,,Allegany,New York,county,62.0,14706
2244,36321.0,,Bronx,New York,county,61.0,"10451,10452,10453,10454,10455"
2245,42970.0,,Broome,New York,county,35.0,"13440,13441"
2246,38988.0,,Cattaraugus,New York,county,53.0,14719
2247,40976.0,,Cayuga,New York,county,43.0,13034
2248,40102.0,,Chautauqua,New York,county,49.0,
2249,42745.0,,Chemung,New York,county,37.0,14825
2250,40907.0,,Chenango,New York,county,45.0,
2251,43228.0,,Clinton,New York,county,38.0,13323
2252,53880.0,,Columbia,New York,county,11.0,
2253,39592.0,,Cortland,New York,county,50.0,13045
2254,38175.0,,Delaware,New York,county,55.0,10580
2255,53918.0,,Dutchess,New York,county,10.0,
2256,49957.0,,Erie,New York,county,19.0,
2257,44298.0,,Essex,New York,county,28.0,12936
2258,37006.0,,Franklin,New York,county,60.0,13775
2259,42068.0,,Fulton,New York,county,42.0,13069
2260,42425.0,,Genesee,New York,county,40.0,14754
2261,46011.0,,Greene,New York,county,24.0,13778
2262,51880.0,,Hamilton,New York,county,12.0,13346
2263,40487.0,,Herkimer,New York,county,47.0,13350
2264,45476.0,,Jefferson,New York,county,25.0,12093
2265,50301.0,,Kings,New York,county,17.0,11754
2266,43095.0,,Lewis,New York,county,39.0,12950
2267,44054.0,,Livingston,New York,county,30.0,
2268,43019.0,,Madison,New York,county,36.0,13402
2269,51316.0,,Monroe,New York,county,14.0,10950
2270,41112.0,,Montgomery,New York,county,46.0,12549
2271,85168.0,,Nassau,New York,county,3.0,12123
2272,182821.0,,New York,New York,county,1.0,"10001,10002,10003,10004,10005"
2273,44181.0,,Niagara,New York,county,31.0,"14301,14303,14304,14305"
2274,43413.0,,Oneida,New York,county,34.0,13421
2275,51012.0,,Onondaga,New York,county,15.0,12068
2276,51842.0,,Ontario,New York,county,13.0,14519
2277,49912.0,,Orange,New York,county,18.0,10962
2278,38049.0,,Orleans,New York,county,57.0,14760
2279,39285.0,,Oswego,New York,county,51.0,13126
2280,42188.0,,Otsego,New York,county,41.0,13825
2281,62662.0,,Putnam,New York,county,6.0,12861
2282,47956.0,,Queens,New York,county,22.0,"11427,11428,11429"
2283,47797.0,,Rensselaer,New York,county,23.0,12144
2284,54563.0,,Richmond,New York,county,9.0,11418
2285,57966.0,,Rockland,New York,county,8.0,13144
2286,36935.0,,St. Lawrence,New York,county,59.0,11559
2287,64977.0,,Saratoga,New York,county,5.0,12866
2288,49202.0,,Schenectady,New York,county,20.0,"12302,12303,12304,12305,12306"
2289,39357.0,,Schoharie,New York,county,48.0,12157
2290,40772.0,,Schuyler,New York,county,44.0,12985
2291,37724.0,,Seneca,New York,county,58.0,
2292,43582.0,,Steuben,New York,county,33.0,
2293,65445.0,,Suffolk,New York,county,4.0,
2294,44483.0,,Sullivan,New York,county,26.0,
2295,44115.0,,Tioga,New York,county,29.0,
2296,43466.0,,Tompkins,New York,county,32.0,10986
2297,48508.0,,Ulster,New York,county,21.0,12487
2298,50611.0,,Warren,New York,county,16.0,12885
2299,39189.0,,Washington,New York,county,52.0,11050
2300,45153.0,,Wayne,New York,county,27.0,
2301,103169.0,,Westchester,New York,county,2.0,10709
2302,39139.0,,Wyoming,New York,county,54.0,14591
2303,38824.0,,Yates,New York,county,56.0,12015
2304,38824.0,,Yates,New York,county,56.0,12015
2305,38141.0,,Alamance,North Carolina,county,42.0,
2306,36178.0,,Alexander,North Carolina,county,55.0,28701
2307,36949.0,,Alleghany,North Carolina,county,54.0,
2308,33531.0,,Anson,North Carolina,county,81.0,27553
2309,35368.0,,Ashe,North Carolina,county,64.0,"27203,27205"
2310,34942.0,,Avery,North Carolina,county,63.0,28787
2311,40279.0,,Beaufort,North Carolina,county,30.0,28516
2312,33839.0,,Bertie,North Carolina,county,79.0,
2313,33917.0,,Bladen,North Carolina,county,83.0,28320
2314,41619.0,,Brunswick,North Carolina,county,27.0,
2315,46143.0,,Buncombe,North Carolina,county,12.0,
2316,33747.0,,Burke,North Carolina,county,75.0,28393
2317,43546.0,,Cabarrus,North Carolina,county,22.0,28020
2318,33792.0,,Caldwell,North Carolina,county,74.0,28098
2319,43656.0,,Camden,North Carolina,county,19.0,27921
2320,47248.0,,Carteret,North Carolina,county,10.0,
2321,34566.0,,Caswell,North Carolina,county,73.0,27928
2322,43318.0,,Catawba,North Carolina,county,18.0,28609
2323,59921.0,,Chatham,North Carolina,county,2.0,
2324,31101.0,,Cherokee,North Carolina,county,96.0,28719
2325,38904.0,,Chowan,North Carolina,county,34.0,
2326,32611.0,,Clay,North Carolina,county,86.0,"27520,27527,27528"
2327,36182.0,,Cleveland,North Carolina,county,53.0,27013
2328,31351.0,,Columbus,North Carolina,county,95.0,28722
2329,41831.0,,Craven,North Carolina,county,23.0,
2330,36990.0,,Cumberland,North Carolina,county,45.0,
2331,43885.0,,Currituck,North Carolina,county,17.0,27929
2332,53834.0,,Dare,North Carolina,county,5.0,
2333,37867.0,,Davidson,North Carolina,county,43.0,"28035,28036"
2334,45965.0,,Davie,North Carolina,county,13.0,
2335,33900.0,,Duplin,North Carolina,county,88.0,
2336,48051.0,,Durham,North Carolina,county,8.0,"27701,27703,27704,27705,27706"
2337,33327.0,,Edgecombe,North Carolina,county,78.0,28436
2338,47062.0,,Forsyth,North Carolina,county,11.0,
2339,34674.0,,Franklin,North Carolina,county,65.0,28734
2340,39795.0,,Gaston,North Carolina,county,31.0,27832
2341,35418.0,,Gates,North Carolina,county,67.0,27937
2342,31517.0,,Graham,North Carolina,county,90.0,27253
2343,36852.0,,Granville,North Carolina,county,46.0,"27834,27858"
2344,32493.0,,Greene,North Carolina,county,94.0,28438
2345,44268.0,,Guilford,North Carolina,county,15.0,
2346,34615.0,,Halifax,North Carolina,county,68.0,27839
2347,33064.0,,Harnett,North Carolina,county,82.0,
2348,38634.0,,Haywood,North Carolina,county,37.0,
2349,41286.0,,Henderson,North Carolina,county,26.0,"27536,27537"
2350,31830.0,,Hertford,North Carolina,county,93.0,27944
2351,29898.0,,Hoke,North Carolina,county,97.0,28510
2352,42039.0,,Hyde,North Carolina,county,25.0,
