Metro_Area,2016,2017,2018,Rank_2018
"Fairbanks, AK",52803,53974,56606,55
"Fargo, ND-MN",50762,50639,52712,87
"Farmington, NM",33070,33613,35453,376
"Fayetteville, NC",34255,35245,36903,365
"Fayetteville-Springdale-Rogers, AR",60394,62633,65306,18
"Flagstaff, AZ",44279,46662,48129,149
"Flint, MI",38398,39380,41068,293
"Florence, SC",37454,38644,40413,307
"Florence-Muscle Shoals, AL",35604,36129,37608,356
"Fond du Lac, WI",44346,46203,48126,150
"Fort Collins, CO",48225,51497,54188,73
"Fort Smith, AR-OK",35696,36452,37800,355
"Fort Wayne, IN",43072,44050,46141,187
"Fresno, CA",40327,41137,43084,257
"Gadsden, AL",34792,35542,36918,364
"Gainesville, FL",39134,40958,42663,265
"Gainesville, GA",39946,41856,43701,243
"Gettysburg, PA",45343,47020,49173,132
"Glens Falls, NY",42591,45033,46411,178
"Goldsboro, NC",35607,37309,38472,347
"Grand Forks, ND-MN",47159,48339,50670,110
"Grand Island, NE",40833,42186,43817,240
"Grand Junction, CO",39828,42239,44935,213
"Grand Rapids-Kentwood, MI",46966,47989,50463,113
"Grants Pass, OR",37775,39166,40977,296
"Great Falls, MT",43955,45291,47518,155
"Greeley, CO",43632,44173,46172,184
"Green Bay, WI",47531,49262,51553,102
"Greensboro-High Point, NC",40477,41701,43189,254
"Greenville, NC",38611,39873,41191,291
"Greenville-Anderson, SC",40902,42650,44213,228
"Gulfport-Biloxi, MS",35316,35672,36878,366
"Hagerstown-Martinsburg, MD-WV",41213,42144,43897,237
"Hammond, LA",36690,37474,38974,336
"Hanford-Corcoran, CA",33457,34323,35306,377
"Harrisburg-Carlisle, PA",48165,49987,52354,91
"Harrisonburg, VA",36730,38469,39721,325
"Hartford-East Hartford-Middletown, CT",59902,61464,64337,21
"Hattiesburg, MS",36115,37066,38648,343
"Hickory-Lenoir-Morganton, NC",36542,38119,39849,322
"Hilton Head Island-Bluffton, SC",48856,50351,53056,85
"Hinesville, GA",31556,32322,33744,379
"Homosassa Springs, FL",35856,36614,37920,354
"Hot Springs, AR",37226,38629,40004,318
"Houma-Thibodaux, LA",40980,41605,44127,230
"Houston-The Woodlands-Sugar Land, TX",50671,53479,56077,62
"Huntington-Ashland, WV-KY-OH",36513,37901,40299,312
"Huntsville, AL",46183,47442,49595,127
"Idaho Falls, ID",41908,43646,45477,205
"Indianapolis-Carmel-Anderson, IN",50950,52221,54179,74
"Iowa City, IA",49096,50819,53280,82
"Ithaca, NY",40989,43466,45282,209
"Jackson, MI",37336,38031,39832,323
"Jackson, MS",41623,42035,43772,242
"Jackson, TN",37782,38565,40226,315
"Jacksonville, FL",45572,47830,49754,123
"Jacksonville, NC",45907,44836,46142,186
"Janesville-Beloit, WI",40968,42189,44204,229
"Jefferson City, MO",40376,42259,43802,241
"Johnson City, TN",37636,38673,40360,309
"Johnstown, PA",39656,40721,43420,248
"Jonesboro, AR",34375,35330,36588,368
"Joplin, MO",37607,38856,39765,324
"Kahului-Wailuku-Lahaina, HI",45194,47322,49040,135
"Kalamazoo-Portage, MI",45350,46675,48723,141
"Kankakee, IL",38347,39602,41290,290
"Kansas City, MO-KS",50168,51717,53788,80
"Kennewick-Richland, WA",42108,43064,44256,227
"Killeen-Temple, TX",39588,40717,41634,284
"Kingsport-Bristol, TN-VA",37138,38369,40042,317
"Kingston, NY",46211,48508,50462,114
"Knoxville, TN",42630,43770,45739,201
"Kokomo, IN",39019,39916,41842,280
"La Crosse-Onalaska, WI-MN",46389,48094,50412,116
"Lafayette, LA",40468,41832,44273,226
"Lafayette-West Lafayette, IN",36328,37534,39969,320
"Lake Charles, LA",44556,46206,49011,136
"Lake Havasu City-Kingman, AZ",30286,31742,33148,381
"Lakeland-Winter Haven, FL",33333,34591,35463,375
"Lancaster, PA",47611,49961,52664,88
"Lansing-East Lansing, MI",38917,39981,41812,281
"Laredo, TX",29448,30153,31635,382
"Las Cruces, NM",34516,35144,36570,369
"Las Vegas-Henderson-Paradise, NV",43573,45087,47090,164
"Lawrence, KS",40244,41899,43642,244
"Lawton, OK",38876,39614,41509,288
"Lebanon, PA",44177,46194,48352,145
"Lewiston, ID-WA",41957,43771,45368,208
"Lewiston-Auburn, ME",38311,39600,41528,287
"Lexington-Fayette, KY",44855,46387,47875,153
"Lima, OH",39146,40712,42816,262
"Lincoln, NE",45866,47575,49886,122
"Little Rock-North Little Rock-Conway, AR",42963,43901,45512,204
"Logan, UT-ID",35406,37269,38690,342
"Longview, TX",39150,39526,41630,285
"Longview, WA",41827,43046,44990,211
"Los Angeles-Long Beach-Anaheim, CA",58548,60649,63913,23
"Louisville/Jefferson County, KY-IN",46456,48163,50101,118
"Lubbock, TX",39579,40416,42181,272
"Lynchburg, VA",37598,38720,40374,308
"Macon-Bibb County, GA",38120,39399,41066,295
"Madera, CA",37209,38062,39897,321
"Madison, WI",54702,56695,59371,37
"Manchester-Nashua, NH",56615,58305,61147,29
"Manhattan, KS",43171,44212,46008,194
"Mankato, MN",43513,44871,46141,187
"Mansfield, OH",36368,37865,39234,334
"McAllen-Edinburg-Mission, TX",25111,25451,26410,384
"Medford, OR",43151,44533,46603,173
"Memphis, TN-MS-AR",43526,44655,46620,172
"Merced, CA",36786,38037,38519,346
"Miami-Fort Lauderdale-Pompano Beach, FL",50974,54409,57228,50
"Michigan City-La Porte, IN",39048,40561,42527,268
"Midland, MI",47499,58229,60467,33
"Midland, TX",74624,108595,122247,1
"Milwaukee-Waukesha, WI",52429,54216,57005,51
"Minneapolis-St. Paul-Bloomington, MN-WI",58345,60167,62889,24
"Missoula, MT",44646,47086,49492,128
"Mobile, AL",35961,36705,38170,350
"Modesto, CA",41417,42354,44120,231
"Monroe, LA",38093,38726,40482,304
"Monroe, MI",43757,45498,47496,156
"Montgomery, AL",40608,41592,42943,259
"Morgantown, WV",38911,40728,42509,269
"Morristown, TN",33656,34280,35829,373
"Mount Vernon-Anacortes, WA",47870,50119,53060,84
"Muncie, IN",34621,35713,37201,360
"Muskegon, MI",36235,37207,39072,335
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",36563,37565,38700,341
"Napa, CA",67580,69791,74984,9
"Naples-Marco Island, FL",83659,87092,92686,5
"Nashville-Davidson--Murfreesboro--Franklin, TN",53704,55382,57953,46
"New Bern, NC",41019,41547,43257,252
"New Haven-Milford, CT",52621,53605,56650,54
