,unique_county,COPD,CHOLSCREEN,KIDNEY,BINGE,CHECKUP,PHLTH,OBESITY,ARTHRITIS,CASTHMA,DENTAL,SLEEP,CANCER,LPA,BPHIGH,DIABETES,STROKE,BPMED,CSMOKING,MHLTH,CHD,Rank,County-equivalent,State,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds,fips
227,PlacerCalifornia,4.972413793103449,79.37241379310345,2.4068965517241385,17.29310344827586,67.36551724137932,10.555172413793104,21.482758620689655,22.07586206896552,8.53793103448276,72.77931034482759,30.875862068965528,7.072413793103448,17.172413793103452,27.19655172413793,7.689655172413793,2.4896551724137934,70.05862068965516,12.051724137931032,10.682758620689656,5.131034482758621,120,Placer,California,34886.0,72725.0,87352.0,"355,924","132,709",6061.0
228,PlatteMissouri,5.3,77.13333333333334,2.15,18.825,68.18333333333332,10.475,32.79166666666667,24.53333333333333,8.591666666666667,64.975,32.291666666666664,6.341666666666666,23.733333333333334,27.533333333333335,8.324999999999998,2.2833333333333328,76.46666666666668,18.525000000000002,11.133333333333335,4.9833333333333325,118,Platte,Missouri,35143.0,67721.0,83110.0,"90,842","36,781",29165.0
229,PlymouthMassachusetts,8.404761904761903,74.49047619047619,2.9095238095238094,18.333333333333332,78.68571428571428,15.495238095238093,34.46666666666667,28.871428571428574,12.523809523809524,55.58571428571428,45.666666666666664,6.3428571428571425,35.204761904761895,36.023809523809526,11.666666666666666,3.7285714285714286,77.5857142857143,24.96666666666667,16.79047619047619,6.800000000000001,115,Plymouth,Massachusetts,35220.0,75092.0,90431.0,"497,386","179,617",25023.0
230,PolkFlorida,8.971794871794872,76.08717948717948,3.246153846153846,13.420512820512823,75.46923076923075,15.55641025641026,32.51794871794873,27.035897435897432,9.23846153846154,56.66410256410256,36.894871794871804,7.487179487179487,30.007692307692306,35.28461538461539,13.07179487179487,4.253846153846156,78.48717948717949,19.72820512820513,14.538461538461538,8.330769230769231,2027,Polk,Florida,21285.0,43113.0,50944.0,"610,295","219,540",12105.0
231,PolkIowa,6.217241379310344,69.8396551724138,2.5103448275862066,18.934482758620685,69.17068965517241,11.606896551724137,32.73275862068965,23.382758620689657,8.672413793103448,65.08275862068966,31.22931034482759,6.032758620689653,27.98620689655173,28.389655172413793,9.20862068965517,2.9586206896551723,74.9,20.099999999999998,11.943103448275863,5.518965517241377,304,Polk,Iowa,30442.0,59018.0,73043.0,"438,307","173,164",19153.0
232,PolkOregon,6.3,72.375,2.725,16.75,61.224999999999994,13.4,28.9,25.925,10.075,65.39999999999999,31.400000000000002,7.25,19.8,28.575000000000003,9.5,3.075,72.42500000000001,17.75,13.700000000000001,5.95,1187,Polk,Oregon,24426.0,52808.0,62802.0,"75,930","28,239",41053.0
233,Portsmouth CityVirginia,7.43225806451613,75.49354838709678,3.045161290322581,14.35483870967742,78.01290322580644,13.658064516129032,37.41612903225806,26.170967741935478,10.051612903225807,57.225806451612925,40.34838709677418,5.95483870967742,31.17096774193549,38.61612903225805,13.425806451612905,4.3032258064516125,77.38709677419355,23.28064516129032,13.358064516129035,6.41290322580645,1512,Portsmouth City,Virginia,23138.0,46166.0,53632.0,"95,901","36,690",51740.0
234,PottawatomieOklahoma,9.1,80.4,2.8,13.0,65.4,14.5,34.3,31.4,9.4,57.6,33.4,8.2,33.6,40.3,12.4,3.7,80.0,21.5,12.3,9.1,2102,Pottawatomie,Oklahoma,20937.0,42764.0,51656.0,"70,144","25,658",40125.0
235,PotterTexas,7.637500000000001,68.29375,2.9875000000000003,15.868749999999995,66.65937500000001,15.1125,36.828125,23.574999999999992,9.184375,49.334375,35.237500000000004,5.78125,35.34687500000001,32.96875000000001,12.3875,3.6406250000000004,75.87812499999997,21.26875,13.646875000000001,6.8625,2370,Potter,Texas,19861.0,37951.0,46243.0,"121,526","42,751",48375.0
236,ProvidenceRhode Island,6.771428571428571,73.85324675324678,2.6948051948051943,15.541558441558442,80.02597402597402,14.424675324675322,29.045454545454547,23.131168831168836,11.727272727272727,62.124675324675295,41.251948051948055,5.887012987012987,32.27012987012988,30.68181818181817,10.072727272727272,2.9753246753246763,75.3974025974026,19.090909090909086,15.046753246753251,5.898701298701299,773,Providence,Rhode Island,26308.0,49297.0,62348.0,"627,469","237,800",44007.0
