,County-equivalent,State,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds,fips
2887,Hampshire,West Virginia,17734.0,27766.0,45831.0,"23,746","10,570",54027
2889,Floyd,Kentucky,17716.0,30476.0,37838.0,"39,448","15,422",21071
2890,Wayne,Tennessee,17706.0,33198.0,44653.0,"16,996","6,093",47181
2891,Washington County,Missouri,17703.0,34702.0,41108.0,"25,135","9,199",29221
2892,Baraga,Michigan,17701.0,41189.0,51705.0,"8,787","3,234",26013
2893,Cumberland,Kentucky,17697.0,31593.0,37620.0,"6,842","2,604",21057
2894,Orangeburg,South Carolina,17687.0,34110.0,42038.0,"91,836","34,180",45075
2895,Power,Idaho,17684.0,44212.0,45837.0,"7,756","2,568",16077
2896,Jeff Davis,Georgia,17684.0,36296.0,42577.0,"15,042","5,509",13161
2897,Dawson,Texas,17677.0,39714.0,51946.0,"13,771","4,414",48115
2898,Clarendon,South Carolina,17665.0,31410.0,40172.0,"34,652","12,690",45027
2899,Santa Cruz,Arizona,17664.0,37745.0,41774.0,"47,122","15,078",04023
2900,Arthur,Nebraska,17656.0,40568.0,48750.0,507,177,31005
2901,Robertson,Kentucky,17641.0,31786.0,49643.0,"2,254",884,21201
2902,Seminole,Georgia,17641.0,30521.0,38173.0,"8,831","3,317",13253
2903,Lunenburg,Virginia,17630.0,35237.0,41875.0,"12,759","4,572",51111
2904,Franklin,Idaho,17620.0,44962.0,56044.0,"12,801","4,150",16041
2905,Gadsden,Florida,17615.0,35380.0,50314.0,"46,860","16,662",12039
2906,McCurtain,Oklahoma,17615.0,31790.0,40224.0,"33,143","13,078",40089
2907,Turner,Georgia,17609.0,28326.0,34176.0,"8,637","3,166",13287
2908,Randolph,Missouri,17587.0,37203.0,47844.0,"25,253","8,925",29175
2909,Early,Georgia,17579.0,28853.0,40732.0,"10,787","4,030",13099
2910,Jenkins,Georgia,17565.0,26104.0,35490.0,"8,642","3,354",13165
2911,Adams,Mississippi,17544.0,27381.0,36044.0,"32,308","12,087",28001
2912,Deaf Smith,Texas,17532.0,41444.0,47763.0,"19,307","6,191",48117
2913,Jackson,Florida,17525.0,36809.0,48028.0,"49,326","16,244",12063
2914,Dimmit,Texas,17516.0,36681.0,44403.0,"10,270","3,542",48127
2915,Washington County,Georgia,17515.0,33652.0,45757.0,"20,982","7,119",13303
2916,Claiborne,Louisiana,17512.0,32996.0,39539.0,"16,964","5,726",22027
2917,McDonald,Missouri,17505.0,37997.0,45172.0,"22,892","8,221",29119
2918,Buchanan,Virginia,17489.0,29848.0,38734.0,"23,920","9,485",51027
2919,Uvalde,Texas,17479.0,34902.0,41173.0,"26,578","8,619",48463
2920,Marion,Georgia,17479.0,33301.0,49229.0,"8,673","3,000",13197
