,fips,MHLTH,HIGHCHOL,LPA,PHLTH,CANCER,DENTAL,COPD,OBESITY,STROKE,CHECKUP,CHOLSCREEN,CASTHMA,BINGE,CHD,BPMED,ARTHRITIS,KIDNEY,BPHIGH,DIABETES,SLEEP,CSMOKING
332,36840,12.047058823529413,37.933333333333344,31.392156862745104,12.650980392156866,6.527450980392156,62.2078431372549,5.962745098039213,25.682352941176468,3.0294117647058822,69.63529411764706,77.60196078431369,9.784313725490195,15.40980392156863,6.127450980392156,74.89803921568627,23.56666666666667,2.7196078431372546,29.617647058823533,10.292156862745095,40.29411764705881,15.813725490196074
333,37021,11.672413793103445,34.99655172413794,22.08620689655172,12.265517241379307,7.0793103448275865,66.80689655172414,6.517241379310347,24.61034482758621,3.234482758620689,70.24482758620688,79.07931034482758,8.527586206896551,15.455172413793106,6.548275862068966,77.22068965517244,24.486206896551728,2.817241379310345,31.596551724137925,9.27931034482759,30.072413793103447,17.331034482758618
334,37107,8.764102564102561,31.75897435897436,18.056410256410253,8.366666666666667,5.738461538461538,74.31794871794872,3.9102564102564084,20.353846153846156,1.8538461538461537,71.6,84.05897435897437,7.351282051282051,16.302564102564098,4.035897435897435,72.36410256410257,18.648717948717948,1.98974358974359,25.317948717948717,6.70769230769231,28.53333333333333,12.058974358974357
335,37120,12.09898989898989,32.29444444444445,24.08333333333334,11.588888888888881,4.929292929292926,60.778282828282855,5.417676767676767,29.38737373737373,2.8535353535353534,71.88333333333334,76.3888888888889,8.803030303030303,16.806565656565652,4.787373737373737,71.94545454545458,21.1828282828283,2.4707070707070717,30.90202020202021,9.328787878787876,35.03989898989901,17.586363636363618
336,37141,12.859090909090908,33.7,26.895454545454548,13.21818181818182,6.040909090909091,58.790909090909096,6.795454545454544,32.16363636363638,3.1954545454545453,70.29545454545453,77.47727272727273,8.845454545454547,15.28181818181818,6.027272727272727,74.2181818181818,24.02272727272728,2.604545454545455,32.93181818181818,9.709090909090909,34.37727272727273,20.33636363636364
337,37190,12.451724137931034,30.49482758620691,23.903448275862054,11.832758620689654,5.029310344827584,63.37241379310344,5.568965517241379,27.632758620689646,3.1,70.03103448275864,74.53275862068966,9.217241379310343,15.931034482758625,4.97413793103448,71.25172413793106,20.770689655172415,2.5931034482758633,30.58793103448276,9.658620689655171,34.25689655172415,17.82413793103449
338,37229,13.438775510204087,31.99183673469388,26.87142857142857,12.806122448979592,5.22448979591837,61.68367346938776,6.248979591836736,32.781632653061216,3.3448979591836743,72.78367346938775,72.94285714285714,9.316326530612244,16.493877551020404,5.689795918367347,69.93877551020407,23.963265306122445,2.7102040816326527,34.80408163265305,10.251020408163264,39.67959183673471,20.52244897959184
339,37255,14.534482758620694,37.61724137931036,31.127586206896552,15.775862068965518,6.2862068965517235,54.072413793103436,8.424137931034481,32.92758620689656,3.948275862068966,71.91724137931034,76.38275862068966,9.555172413793104,13.603448275862071,7.162068965517241,76.98620689655172,27.47931034482758,2.96551724137931,36.42413793103447,11.475862068965519,38.762068965517244,23.975862068965522
340,37280,12.892156862745097,33.72941176470587,26.227450980392145,12.40686274509804,5.497058823529412,59.524509803921596,6.057843137254902,31.178431372549014,3.2225490196078423,72.25196078431371,74.49607843137255,9.450980392156866,15.308823529411766,5.5333333333333306,72.41960784313727,22.337254901960783,2.669607843137255,32.52156862745098,9.85196078431372,34.95098039215688,20.256862745098047
341,37314,13.33939393939394,37.28181818181818,28.23333333333333,14.136363636363637,6.166666666666668,57.90303030303029,7.242424242424242,32.22424242424242,3.6909090909090905,72.24242424242425,76.93939393939395,9.315151515151516,14.442424242424245,6.5666666666666655,75.49393939393941,25.412121212121214,2.875757575757577,35.08484848484849,11.090909090909092,34.85151515151516,21.487878787878785
342,37342,13.5125,26.91875,24.875000000000004,10.18125,3.7125,61.50625,4.9125000000000005,27.11875,2.05,67.11874999999999,63.89375,9.01875,20.325,3.7125,58.47499999999999,16.875000000000004,1.8500000000000003,24.2375,6.4,35.74375,22.2125
343,37550,11.110869565217389,29.89021739130434,21.41195652173913,10.061956521739132,5.048913043478262,65.19347826086955,4.628260869565219,24.546739130434798,2.343478260869565,70.80434782608698,77.14130434782606,8.597826086956523,16.506521739130434,4.2782608695652184,70.41739130434786,18.4804347826087,2.2282608695652173,26.901086956521745,7.666304347826085,31.796739130434784,15.910869565217387
344,37744,12.817241379310346,33.52758620689655,24.87931034482759,12.965517241379313,6.437931034482758,64.26896551724138,6.820689655172415,27.66896551724137,3.4034482758620697,70.29310344827587,75.8103448275862,8.889655172413793,17.16896551724138,6.234482758620688,76.63448275862069,24.82413793103448,2.827586206896552,30.579310344827586,9.868965517241381,32.444827586206905,19.393103448275863
345,37750,13.438235294117645,35.989705882352936,27.335294117647052,14.291176470588233,6.216176470588236,59.891176470588206,7.372058823529412,32.723529411764694,4.055882352941175,74.22647058823529,76.4058823529412,9.427941176470588,13.605882352941169,6.995588235294115,76.8264705882353,26.45000000000001,3.132352941176471,36.538235294117655,12.020588235294115,36.39705882352942,21.67499999999999
346,38257,9.676,32.6,22.919999999999995,8.223999999999998,5.435999999999999,70.62800000000001,4.760000000000002,30.267999999999986,2.22,63.00799999999998,67.148,9.268,25.191999999999997,4.4639999999999995,73.40400000000002,18.36,2.124,24.796,6.508000000000001,28.888,17.712000000000003
347,39010,15.534848484848485,36.73333333333334,32.866666666666674,16.239393939393935,6.268181818181818,50.07121212121214,9.825757575757576,35.080303030303035,4.41212121212121,73.0,69.3969696969697,11.242424242424248,14.833333333333336,7.501515151515153,77.70606060606063,28.46363636363636,3.331818181818182,37.603030303030316,13.72878787878788,44.22878787878789,27.328787878787878
348,39120,15.942307692307693,36.39999999999999,33.226923076923065,16.830769230769224,6.453846153846152,51.63076923076922,10.607692307692306,37.93846153846154,4.538461538461539,71.97692307692307,71.45384615384616,11.211538461538463,15.392307692307694,8.219230769230771,79.63846153846154,31.45384615384615,3.353846153846153,37.2,13.919230769230769,41.219230769230755,27.015384615384622
349,39150,14.355652173913045,35.577391304347834,29.390434782608704,14.56,5.406086956521738,56.97652173913045,8.321739130434784,35.049565217391304,4.0504347826086935,73.50521739130436,70.26347826086958,11.14260869565218,17.27217391304347,6.521739130434784,77.50869565217396,24.305217391304346,3.157391304347827,34.7313043478261,12.914782608695653,39.088695652173904,23.773043478260867
