,DENTAL,UniqueID,SLEEP,BPHIGH,COPD,CANCER,CHECKUP,DIABETES,CSMOKING,CHOLSCREEN,PHLTH,STROKE,KIDNEY,CHD,HIGHCHOL,CASTHMA,BINGE,LPA,BPMED,ARTHRITIS,MHLTH,OBESITY,ACCESS2,PAPTEST,COLON_SCREEN,MAMMOUSE,TEETHLOST,geometry,state,population,longitude,latitude,COREM,COREW,fips
0,86.6,1150000-11001000100,24.6,21.7,3.1,7.2,73.3,5.0,9.3,86.2,6.0,1.7,2.1,3.5,31.6,7.7,24.7,11.9,74.7,18.0,6.9,16.5,3.5,89.6,76.5,80.0,3.1,"(38.9060811983, -77.0607838311)",DC,4890.0,-77.0607838311,38.9060811983,41.3,39.1,11500
1,53.1,1150000-11001000201,34.2,9.1,4.7,1.0,61.1,1.7,27.0,39.4,8.9,0.8,1.2,1.0,13.2,12.4,25.3,20.8,25.5,5.3,19.4,17.4,16.2,49.5,49.7,63.2,21.6,"(38.9093385463, -77.0748289955)",DC,3916.0,-77.0748289955,38.9093385463,28.6,19.8,11500
2,81.5,1150000-11001000202,26.1,15.8,3.4,4.1,68.3,3.9,13.3,69.9,6.4,1.4,1.6,2.7,25.4,9.0,27.9,13.3,67.1,12.6,9.8,15.7,5.9,81.8,71.1,76.6,5.2,"(38.9061877176, -77.0696162292)",DC,5425.0,-77.0696162292,38.9061877176,38.1,34.9,11500
3,82.7,1150000-11001000300,26.3,14.9,2.8,4.1,67.7,3.4,12.4,75.7,5.8,1.2,1.6,2.2,24.2,8.6,28.7,12.4,63.4,11.9,8.9,16.3,5.3,86.3,72.8,78.3,4.3,"(38.9175532799, -77.0756590546)",DC,6233.0,-77.0756590546,38.9175532799,38.9,36.0,11500
4,83.2,1150000-11001000400,26.1,25.1,4.0,7.6,74.7,6.4,10.8,86.2,7.4,2.1,2.4,4.2,35.1,8.0,21.7,14.2,77.0,20.7,7.7,17.7,4.6,86.9,73.3,78.5,4.5,"(38.9238892355, -77.0658962319)",DC,1455.0,-77.0658962319,38.9238892355,38.3,36.6,11500
5,83.4,1150000-11001000501,26.3,14.0,2.2,4.2,68.4,3.0,10.4,78.5,4.8,1.0,1.4,1.9,22.9,8.2,29.3,11.0,63.2,11.1,7.8,15.2,4.3,87.8,74.1,79.2,3.8,"(38.9265863021, -77.0517211589)",DC,3376.0,-77.0517211589,38.9265863021,39.7,36.4,11500
6,84.8,1150000-11001000502,25.8,19.2,2.8,6.0,72.2,4.5,9.5,84.9,5.7,1.4,1.8,2.8,29.5,7.9,25.6,11.6,71.7,15.8,7.2,16.3,3.8,88.6,74.3,79.7,3.7,"(38.928354735, -77.0595624327)",DC,3189.0,-77.0595624327,38.928354735,39.4,38.1,11500
7,84.6,1150000-11001000600,25.5,24.1,3.6,7.5,74.3,5.9,9.9,86.5,6.9,2.0,2.4,4.0,33.3,8.0,22.5,13.3,76.6,19.8,7.4,17.4,4.0,88.3,74.5,79.0,4.3,"(38.9362932029, -77.0664969011)",DC,4539.0,-77.0664969011,38.9362932029,39.3,35.8,11500
8,84.0,1150000-11001000701,25.2,24.2,3.9,7.8,74.2,5.9,10.3,84.5,7.1,2.1,2.5,4.2,33.2,8.1,21.8,13.9,77.1,20.2,7.6,17.1,4.9,87.9,74.8,78.2,4.2,"(38.9295439603, -77.076667174)",DC,4620.0,-77.076667174,38.9295439603,40.0,36.8,11500
9,83.1,1150000-11001000702,27.2,15.0,2.5,4.2,68.3,3.4,12.2,78.2,5.5,1.1,1.6,2.0,23.6,8.4,28.5,12.5,63.1,11.9,8.6,16.9,5.3,88.6,74.2,79.6,3.7,"(38.9241066882, -77.0778120531)",DC,3364.0,-77.0778120531,38.9241066882,39.3,36.3,11500
10,82.5,1150000-11001000801,26.3,25.3,4.4,7.7,74.6,6.5,11.3,83.9,7.9,2.3,2.5,4.5,34.6,8.5,21.2,14.8,77.6,21.3,8.4,18.0,4.9,86.0,72.4,77.4,5.0,"(38.9244247025, -77.0908660533)",DC,6709.0,-77.0908660533,38.9244247025,39.0,35.0,11500
11,83.3,1150000-11001000802,26.4,19.4,3.2,5.4,70.6,4.7,11.3,81.7,6.4,1.6,1.9,3.0,29.3,8.0,25.6,13.1,70.2,15.4,8.0,17.3,4.8,87.0,72.1,78.6,3.9,"(38.9107719573, -77.087586174)",DC,2869.0,-77.087586174,38.9107719573,39.4,35.7,11500
12,81.0,1150000-11001000901,27.1,18.4,3.9,5.1,70.7,4.7,13.5,72.4,6.9,1.7,1.7,3.3,28.3,9.2,26.5,14.3,72.0,15.2,10.0,15.6,5.8,84.2,71.2,76.8,6.2,"(38.9381049746, -77.1004831061)",DC,7175.0,-77.1004831061,38.9381049746,37.6,34.0,11500
13,85.7,1150000-11001000902,25.6,25.2,3.8,8.0,75.8,6.1,9.9,89.7,7.1,2.0,2.3,4.1,35.4,7.9,21.7,13.2,76.6,21.3,7.3,18.0,3.4,88.7,73.7,79.2,3.8,"(38.927995991, -77.1075153424)",DC,2092.0,-77.1075153424,38.927995991,39.4,37.9,11500
14,85.6,1150000-11001001001,25.6,21.0,3.2,6.6,73.5,4.9,9.9,84.3,6.2,1.7,2.0,3.3,31.0,8.0,24.5,12.5,73.9,17.4,7.5,16.4,3.8,87.9,74.4,79.5,3.9,"(38.9489550754, -77.0884651956)",DC,7436.0,-77.0884651956,38.9489550754,40.3,37.7,11500
15,75.2,1150000-11001001002,29.7,17.0,3.8,4.2,67.9,4.4,15.9,72.7,7.5,1.6,1.8,2.6,26.1,9.4,25.6,15.6,65.3,13.8,10.9,18.4,7.2,81.4,65.5,74.5,7.7,"(38.9384216789, -77.0788872939)",DC,3442.0,-77.0788872939,38.9384216789,35.7,30.8,11500
16,84.9,1150000-11001001100,25.5,25.3,3.5,8.1,75.9,6.1,9.1,88.2,6.7,2.1,2.4,4.1,34.5,7.7,21.7,13.0,78.0,20.8,6.9,16.9,3.5,88.0,74.7,79.6,4.3,"(38.95724392, -77.0776735816)",DC,4779.0,-77.0776735816,38.95724392,39.2,35.9,11500
17,85.0,1150000-11001001200,25.8,19.7,3.0,5.9,72.3,4.7,10.2,83.2,6.0,1.5,1.9,2.9,29.6,8.0,25.3,12.4,72.1,15.9,7.5,16.4,4.3,88.1,74.4,79.7,3.6,"(38.9462265217, -77.0705246905)",DC,5008.0,-77.0705246905,38.9462265217,39.7,37.5,11500
18,85.0,1150000-11001001301,25.6,20.0,2.7,6.2,73.2,4.6,8.8,83.3,5.6,1.6,2.0,3.0,29.0,8.0,24.3,11.8,73.6,15.9,7.0,15.7,3.9,87.8,74.2,79.8,3.8,"(38.9538356982, -77.0545997657)",DC,3955.0,-77.0545997657,38.9538356982,40.3,36.3,11500
19,84.1,1150000-11001001302,26.4,18.8,2.9,5.7,70.9,4.4,10.8,82.0,5.9,1.5,1.9,2.8,27.8,8.1,25.7,12.6,70.8,15.2,7.8,16.5,4.5,88.4,74.5,79.1,3.7,"(38.9411658189, -77.0561258835)",DC,6857.0,-77.0561258835,38.9411658189,39.5,36.1,11500
20,84.5,1150000-11001001401,26.3,23.0,3.4,7.0,74.4,5.5,9.8,87.1,6.6,1.8,2.2,3.5,33.0,7.9,23.0,12.8,74.7,18.8,7.3,17.6,3.9,87.9,73.4,79.0,3.8,"(38.965304177, -77.0706092225)",DC,3078.0,-77.0706092225,38.965304177,39.7,37.0,11500
21,80.8,1150000-11001001402,26.8,30.3,4.8,8.9,76.8,8.0,11.1,87.4,8.7,3.0,3.0,5.6,37.0,8.1,19.0,16.4,80.4,24.3,7.9,18.7,5.3,86.5,72.5,78.1,6.6,"(38.9606051096, -77.0630932091)",DC,2998.0,-77.0630932091,38.9606051096,36.7,32.3,11500
22,86.0,1150000-11001001500,25.2,29.0,3.9,9.4,78.3,6.9,8.9,90.9,7.3,2.5,2.7,4.8,37.0,7.8,19.6,13.7,80.0,23.8,6.7,17.9,3.4,89.4,75.9,80.2,4.1,"(38.9734985608, -77.0540766327)",DC,5911.0,-77.0540766327,38.9734985608,39.6,37.1,11500
23,81.8,1150000-11001001600,31.3,37.9,3.8,8.3,82.6,10.5,9.7,90.5,8.0,3.4,3.2,5.0,36.5,8.8,16.9,15.9,83.5,24.7,7.0,23.4,4.4,90.5,76.3,83.3,5.5,"(38.9844966511, -77.0378304126)",DC,3957.0,-77.0378304126,38.9844966511,33.0,34.0,11500
24,75.2,1150000-11001001702,33.7,29.8,4.3,5.9,76.0,8.6,15.4,83.1,8.9,2.9,2.6,4.0,31.8,9.7,21.1,18.0,77.1,20.2,9.8,24.0,7.3,87.7,70.8,80.4,8.7,"(38.9717869213, -77.016065966)",DC,2644.0,-77.016065966,38.9717869213,31.2,30.8,11500
25,63.0,1150000-11001001803,39.5,33.9,5.4,5.1,76.5,11.2,20.5,78.7,11.9,3.8,3.0,4.7,33.1,10.7,18.7,24.4,76.0,21.4,12.3,30.2,13.4,84.4,63.1,77.8,14.4,"(38.9670714952, -77.0397349624)",DC,3514.0,-77.0397349624,38.9670714952,26.6,23.9,11500
26,58.5,1150000-11001001804,40.4,36.1,6.2,5.3,76.4,12.6,22.2,77.7,13.3,4.3,3.2,5.3,34.9,10.9,18.3,26.5,77.4,23.1,13.1,31.4,15.5,82.6,60.1,76.3,17.8,"(38.9670943355, -77.0304333284)",DC,4480.0,-77.0304333284,38.9670943355,25.0,23.1,11500
27,67.3,1150000-11001001901,38.1,38.2,5.3,6.6,79.9,12.4,16.8,83.3,11.1,4.2,3.3,5.4,35.4,10.3,17.4,22.6,81.1,24.6,10.5,28.4,9.7,85.8,66.6,79.2,12.7,"(38.9646861836, -77.0236318265)",DC,4016.0,-77.0236318265,38.9646861836,27.8,26.0,11500
28,71.1,1150000-11001001902,37.0,38.4,5.0,6.8,80.7,11.9,15.6,85.3,10.3,4.0,3.2,5.3,35.3,9.9,17.8,21.0,81.4,24.5,9.7,27.3,8.1,87.6,69.6,81.5,10.9,"(38.9639666631, -77.0156075435)",DC,1969.0,-77.0156075435,38.9639666631,28.7,27.9,11500
29,71.1,1150000-11001002001,35.1,32.7,5.4,5.5,75.7,10.8,18.2,80.4,11.4,3.5,2.9,4.9,35.0,10.0,19.5,22.3,77.1,21.7,11.3,27.2,11.9,86.0,67.4,79.3,10.5,"(38.9593416105, -77.0359287407)",DC,2340.0,-77.0359287407,38.9593416105,30.3,28.4,11500
30,69.0,1150000-11001002002,36.6,33.8,5.1,5.8,76.9,10.8,17.7,81.2,10.9,3.6,2.9,4.7,33.9,10.1,19.5,22.0,78.2,22.1,11.0,27.4,10.8,85.7,66.8,79.3,12.0,"(38.9525006088, -77.0310820002)",DC,3813.0,-77.0310820002,38.9525006088,28.0,26.4,11500
31,59.3,1150000-11001002101,39.9,32.7,5.3,4.8,75.3,11.1,21.2,76.5,11.9,3.6,2.8,4.6,33.0,10.4,20.1,25.2,75.6,20.5,12.5,29.2,15.1,82.8,60.0,76.7,17.1,"(38.9559130631, -77.0241320119)",DC,5309.0,-77.0241320119,38.9559130631,24.6,22.8,11500
32,64.2,1150000-11001002102,38.9,36.8,5.0,6.1,79.3,11.7,17.0,82.4,10.7,3.9,3.2,5.0,34.3,10.2,18.3,22.0,79.8,23.1,10.4,28.7,9.9,84.7,64.1,78.6,14.3,"(38.9557853796, -77.0142358815)",DC,4648.0,-77.0142358815,38.9557853796,26.2,24.1,11500
33,69.5,1150000-11001002201,37.1,34.8,4.8,5.8,77.9,11.2,17.0,81.4,10.4,3.6,2.9,4.8,33.9,9.8,19.6,22.1,78.9,22.0,10.4,27.5,11.1,87.0,69.0,80.6,11.6,"(38.949133736, -77.0232932042)",DC,3442.0,-77.0232932042,38.949133736,28.0,27.9,11500
34,59.0,1150000-11001002202,40.6,37.2,6.8,5.2,76.3,13.2,23.4,77.1,14.1,4.7,3.4,5.7,35.4,11.2,17.9,27.1,77.5,23.8,13.7,32.3,15.1,82.3,60.1,76.4,17.1,"(38.9488439655, -77.0138620969)",DC,3087.0,-77.0138620969,38.9488439655,25.0,22.6,11500
35,67.2,1150000-11001002301,37.9,33.2,4.5,5.5,77.7,10.3,17.1,81.2,9.8,3.4,2.8,4.3,32.4,10.0,20.3,20.7,78.0,20.9,10.4,27.0,9.3,85.8,66.2,79.8,12.9,"(38.9425896045, -77.0165738251)",DC,2974.0,-77.0165738251,38.9425896045,27.5,26.3,11500
36,68.3,1150000-11001002302,30.3,44.1,7.1,11.1,81.4,12.9,12.0,84.4,11.5,6.0,4.5,12.5,42.4,7.9,14.0,22.2,85.3,30.4,7.9,21.1,8.7,81.5,66.9,77.0,11.7,"(38.9338959682, -77.0108784659)",DC,2036.0,-77.0108784659,38.9338959682,34.7,25.6,11500
37,68.1,1150000-11001002400,37.1,31.7,4.5,5.2,75.9,9.9,17.7,79.9,9.9,3.2,2.7,4.3,31.9,9.8,21.3,21.0,76.7,19.9,10.7,26.8,10.4,85.8,66.5,79.6,12.3,"(38.9417827179, -77.0224057286)",DC,3618.0,-77.0224057286,38.9417827179,27.8,26.6,11500
38,62.2,1150000-11001002501,37.4,34.9,6.0,5.8,75.5,11.9,20.0,79.1,12.4,4.2,3.2,5.5,35.0,10.3,19.3,24.2,78.1,22.9,12.0,28.4,13.3,83.1,61.7,76.3,16.6,"(38.9446514559, -77.0317347907)",DC,2554.0,-77.0317347907,38.9446514559,25.5,23.5,11500
39,65.9,1150000-11001002502,36.2,25.8,4.1,4.0,71.3,8.4,18.8,74.5,10.0,2.6,2.3,3.5,29.6,9.5,23.7,21.8,70.7,16.2,11.6,26.1,14.7,85.1,62.9,78.5,13.1,"(38.9390531288, -77.0301378132)",DC,5973.0,-77.0301378132,38.9390531288,26.5,25.3,11500
40,81.7,1150000-11001002600,30.2,32.7,3.8,7.5,78.9,8.9,10.6,88.6,7.8,3.0,2.9,4.6,35.0,8.5,19.8,15.5,80.8,22.4,7.4,21.7,4.8,89.5,74.9,82.4,6.0,"(38.9452742147, -77.0425303053)",DC,2166.0,-77.0425303053,38.9452742147,34.1,32.3,11500
41,77.1,1150000-11001002701,30.5,22.8,3.7,4.5,70.0,6.7,15.7,77.4,8.3,2.2,2.3,3.3,28.6,8.8,24.7,17.5,70.4,15.5,10.0,22.1,9.4,87.3,70.1,79.5,7.1,"(38.9344557666, -77.0416616176)",DC,5233.0,-77.0416616176,38.9344557666,32.2,29.5,11500
42,76.3,1150000-11001002702,30.4,19.8,3.5,4.1,68.4,5.7,16.5,77.0,7.8,1.7,1.9,2.8,27.7,8.5,27.3,17.0,66.8,14.0,10.1,20.9,9.3,87.2,68.5,78.8,7.3,"(38.9301828499, -77.0418207603)",DC,5226.0,-77.0418207603,38.9301828499,31.8,30.6,11500
43,61.1,1150000-11001002801,36.7,24.0,4.5,3.6,68.8,7.9,21.6,70.2,10.5,2.5,2.2,3.3,28.8,9.9,24.4,22.8,67.9,15.3,12.9,25.9,16.4,81.2,59.5,75.4,15.7,"(38.9349477555, -77.0345165596)",DC,3773.0,-77.0345165596,38.9349477555,25.3,23.8,11500
44,63.7,1150000-11001002802,34.7,23.8,4.8,3.8,68.0,8.3,21.3,70.1,11.1,2.6,2.5,3.7,29.9,9.7,23.4,23.3,68.0,15.7,13.1,25.4,17.2,81.8,59.5,74.9,14.2,"(38.9294302133, -77.0346297537)",DC,4277.0,-77.0346297537,38.9294302133,27.2,24.1,11500
45,71.5,1150000-11001002900,33.4,19.6,2.7,3.5,69.7,5.6,15.0,76.0,7.0,1.6,1.8,2.3,25.1,8.5,27.8,16.5,66.1,12.1,9.5,21.5,10.0,86.3,65.0,79.6,10.5,"(38.9338466308, -77.0298980442)",DC,3962.0,-77.0298980442,38.9338466308,27.8,27.7,11500
46,68.4,1150000-11001003000,34.1,22.2,3.8,3.7,69.7,6.6,18.0,73.3,8.6,2.2,2.2,2.9,26.5,9.8,24.4,18.4,68.2,14.4,11.3,23.5,10.2,83.0,63.2,77.9,11.4,"(38.928876607, -77.0299411371)",DC,3398.0,-77.0299411371,38.928876607,27.3,25.1,11500
47,64.9,1150000-11001003100,35.2,24.5,4.3,3.7,69.6,8.1,20.2,71.5,10.2,2.5,2.4,3.4,28.9,9.6,23.9,22.0,68.9,15.2,12.2,25.7,15.0,82.5,60.2,76.6,13.4,"(38.9305897622, -77.0254222296)",DC,2885.0,-77.0254222296,38.9305897622,26.7,24.6,11500
48,61.4,1150000-11001003200,38.6,28.9,5.1,4.2,72.8,9.5,22.3,72.8,11.3,3.1,2.5,3.9,30.7,10.7,22.0,23.9,72.1,18.1,13.1,28.1,15.0,82.9,61.3,76.8,16.2,"(38.9322677462, -77.0211715256)",DC,4913.0,-77.0211715256,38.9322677462,25.5,24.6,11500
49,76.7,1150000-11001003301,34.0,22.5,2.5,4.1,74.7,5.7,12.4,80.1,6.0,1.7,1.9,2.4,25.0,9.1,26.0,13.8,70.4,13.5,8.3,21.5,5.5,88.4,71.7,82.7,7.4,"(38.9204186155, -77.0114616349)",DC,3198.0,-77.0114616349,38.9204186155,29.4,29.8,11500
50,73.0,1150000-11001003302,34.7,23.4,3.1,4.0,72.9,6.3,15.1,78.3,7.2,2.0,2.0,2.6,26.0,9.4,25.5,15.9,70.1,14.3,9.6,23.1,7.2,86.8,67.9,81.5,9.5,"(38.913887782, -77.0111866884)",DC,2134.0,-77.0111866884,38.913887782,28.9,28.0,11500
51,69.0,1150000-11001003400,37.1,18.1,3.1,2.4,74.2,4.7,18.2,64.5,7.1,1.6,1.6,1.9,20.1,11.8,24.2,17.4,59.4,10.2,12.6,21.9,9.9,84.1,64.7,79.9,11.9,"(38.9214906954, -77.017720338)",DC,4347.0,-77.017720338,38.9214906954,26.7,26.0,11500
52,65.2,1150000-11001003500,38.0,19.7,3.4,2.7,73.0,5.4,19.4,65.1,7.8,1.8,1.7,2.3,21.8,11.4,24.7,18.6,61.1,11.2,12.7,23.0,11.2,80.6,64.5,78.6,13.5,"(38.9223788335, -77.0243413499)",DC,3740.0,-77.0243413499,38.9223788335,26.6,24.5,11500
53,73.1,1150000-11001003600,33.1,22.3,3.3,3.9,70.3,6.4,16.1,76.3,7.7,2.0,2.2,2.8,26.5,9.0,25.6,17.2,68.7,14.0,10.0,23.0,8.9,86.1,66.1,79.5,9.4,"(38.9236739747, -77.0296266678)",DC,4208.0,-77.0296266678,38.9236739747,29.2,27.8,11500
54,68.3,1150000-11001003700,34.7,19.4,3.4,3.0,69.8,5.7,18.0,70.5,8.2,1.7,1.9,2.4,24.5,10.0,25.0,18.5,62.7,12.1,11.7,23.2,11.5,83.7,62.5,78.1,10.6,"(38.9228678918, -77.0343295539)",DC,5763.0,-77.0343295539,38.9228678918,28.5,25.6,11500
55,77.7,1150000-11001003800,30.3,18.9,3.0,4.0,68.7,5.1,14.7,78.2,7.0,1.6,1.8,2.5,26.2,8.4,27.4,15.1,65.8,13.0,9.4,20.2,7.6,87.6,68.9,79.4,6.3,"(38.9216314788, -77.0391808111)",DC,4614.0,-77.0391808111,38.9216314788,32.6,31.4,11500
56,82.5,1150000-11001003900,27.9,16.2,2.2,4.1,69.0,3.9,11.1,80.6,5.3,1.2,1.6,2.0,24.2,8.0,28.9,12.0,64.7,11.7,7.9,17.8,4.8,89.1,72.3,80.3,3.9,"(38.9254739149, -77.0439600633)",DC,4474.0,-77.0439600633,38.9254739149,35.8,34.2,11500
57,85.7,1150000-11001004001,25.9,16.8,2.5,4.9,69.3,3.9,10.8,82.4,5.5,1.2,1.7,2.4,26.3,7.9,28.3,11.8,66.3,13.2,7.6,17.1,4.4,90.4,75.4,80.1,2.9,"(38.9207358889, -77.0465415653)",DC,3745.0,-77.0465415653,38.9207358889,40.6,38.5,11500
58,84.1,1150000-11001004002,27.2,15.0,2.0,4.2,68.8,3.3,10.2,81.3,4.7,1.0,1.5,1.9,23.6,7.7,30.2,11.0,63.9,11.1,7.3,16.1,4.2,89.7,74.2,80.7,3.8,"(38.918099224, -77.0437381559)",DC,2797.0,-77.0437381559,38.918099224,38.7,36.3,11500
59,84.6,1150000-11001004100,25.7,22.0,3.1,6.8,73.4,5.3,9.3,86.0,6.1,1.7,2.1,3.5,32.2,7.6,24.3,12.2,74.5,17.6,6.9,16.8,4.0,88.5,74.6,79.9,3.7,"(38.9156530114, -77.0520464941)",DC,2708.0,-77.0520464941,38.9156530114,40.3,38.0,11500
60,83.6,1150000-11001004201,27.1,12.9,1.9,3.3,66.9,2.8,11.0,79.0,4.5,0.9,1.3,1.5,21.3,7.7,32.3,10.9,57.6,9.1,7.6,16.0,4.5,89.3,71.5,80.7,3.9,"(38.916207588, -77.0388456331)",DC,3342.0,-77.0388456331,38.916207588,35.8,36.0,11500
61,83.8,1150000-11001004202,26.8,14.1,2.1,3.9,67.8,3.1,10.7,79.6,4.7,1.0,1.4,1.9,23.0,7.7,30.7,10.9,61.6,10.4,7.5,15.9,4.3,88.9,74.0,80.4,3.4,"(38.9134044458, -77.0430359212)",DC,2771.0,-77.0430359212,38.9134044458,38.0,36.4,11500
62,77.7,1150000-11001004300,30.2,21.0,3.1,4.4,70.1,5.7,14.1,78.8,7.0,1.9,2.1,2.8,26.7,8.6,26.3,15.4,69.9,14.2,9.1,20.4,7.3,87.9,70.8,80.1,7.6,"(38.9168035115, -77.0341509587)",DC,3255.0,-77.0341509587,38.9168035115,31.2,30.3,11500
63,79.5,1150000-11001004400,29.9,16.4,2.2,3.5,68.1,3.9,12.7,79.3,5.5,1.2,1.6,1.9,23.1,8.0,29.8,12.8,62.0,10.7,8.2,18.8,5.6,88.9,70.0,81.8,5.5,"(38.9170144539, -77.0275918943)",DC,4572.0,-77.0275918943,38.9170144539,32.3,30.6,11500
64,70.5,1150000-11001004600,36.5,27.3,4.0,4.2,73.8,7.9,19.2,76.8,8.9,2.5,2.2,3.2,28.7,9.9,24.0,19.6,72.4,16.6,11.0,25.6,9.4,86.3,68.5,80.8,10.6,"(38.9097373995, -77.0133154357)",DC,3028.0,-77.0133154357,38.9097373995,28.4,28.3,11500
65,55.6,1150000-11001004701,40.1,33.6,6.6,4.9,74.6,11.8,23.6,73.3,13.1,4.3,3.3,5.3,34.1,11.2,17.1,26.4,76.1,21.4,13.7,28.1,14.0,77.0,56.0,73.5,18.4,"(38.9041360314, -77.0136463819)",DC,3986.0,-77.0136463819,38.9041360314,24.2,21.1,11500
66,70.7,1150000-11001004702,33.7,27.4,4.0,5.3,73.1,8.0,15.6,79.3,8.4,2.8,2.6,4.0,30.1,9.1,22.5,17.8,75.7,17.9,9.6,22.3,8.0,84.5,67.8,79.7,10.4,"(38.9008675863, -77.0136052714)",DC,1802.0,-77.0136052714,38.9008675863,29.6,26.1,11500
67,73.0,1150000-11001004801,33.9,24.4,3.5,4.5,72.0,6.9,16.1,78.3,7.6,2.3,2.1,3.1,27.7,9.0,26.0,16.8,72.4,15.5,9.6,22.0,8.1,86.4,69.9,80.0,10.0,"(38.9117400908, -77.0195319937)",DC,2143.0,-77.0195319937,38.9117400908,28.8,29.3,11500
68,64.7,1150000-11001004802,36.8,27.6,4.8,4.4,72.2,8.8,20.3,74.5,10.1,3.0,2.5,3.8,30.5,10.0,21.6,21.6,73.4,17.7,11.8,24.8,11.1,80.7,61.8,77.2,13.7,"(38.9062165422, -77.0188944239)",DC,2922.0,-77.0188944239,38.9062165422,26.7,25.0,11500
69,63.8,1150000-11001004901,36.6,26.8,5.1,4.2,71.4,8.2,21.2,74.5,10.6,2.9,2.5,3.7,29.9,10.5,22.3,21.3,71.4,17.7,12.5,26.1,11.2,82.0,61.2,76.6,14.6,"(38.9113297971, -77.0244761699)",DC,2087.0,-77.0244761699,38.9113297971,27.0,24.3,11500
70,71.4,1150000-11001004902,33.3,19.0,3.5,3.2,67.5,5.2,19.0,73.1,8.1,1.6,1.8,2.4,25.1,9.2,26.6,18.1,61.6,12.3,11.3,22.7,10.5,85.1,63.3,77.5,9.3,"(38.9058868044, -77.0243932088)",DC,2690.0,-77.0243932088,38.9058868044,30.6,29.8,11500
71,80.1,1150000-11001005001,30.0,18.9,2.6,3.9,69.1,4.7,13.5,80.1,6.0,1.4,1.7,2.3,25.5,8.0,29.9,13.4,65.8,12.2,8.3,19.7,5.8,88.9,70.8,81.3,5.8,"(38.9119189388, -77.0295156072)",DC,1955.0,-77.0295156072,38.9119189388,33.6,33.8,11500
72,69.6,1150000-11001005002,32.7,19.5,3.6,3.5,67.0,5.6,18.1,73.4,8.1,1.8,1.9,2.7,26.2,8.8,27.3,17.9,64.6,12.9,10.9,22.1,11.1,83.4,63.4,77.4,10.6,"(38.9072747639, -77.0293193313)",DC,6021.0,-77.0293193313,38.9072747639,28.4,27.4,11500
73,81.8,1150000-11001005201,28.4,15.8,2.3,3.8,67.7,3.7,12.5,79.5,5.3,1.1,1.5,2.0,23.8,7.8,30.7,12.4,62.3,10.9,8.0,17.6,5.5,89.0,72.1,80.5,4.6,"(38.9102026489, -77.0341232003)",DC,6077.0,-77.0341232003,38.9102026489,35.1,34.7,11500
74,83.9,1150000-11001005301,27.0,14.3,2.1,4.0,67.6,3.2,10.6,80.3,4.8,1.0,1.4,1.9,23.3,7.6,30.2,11.1,61.3,10.6,7.5,16.1,4.4,89.1,72.7,79.9,3.3,"(38.9107790031, -77.0389514661)",DC,5051.0,-77.0389514661,38.9107790031,38.6,37.1,11500
75,81.3,1150000-11001005500,27.8,17.9,2.8,4.5,69.0,4.4,12.0,78.6,6.0,1.5,1.8,2.7,26.2,8.1,27.2,13.0,67.8,13.1,8.3,17.4,5.2,86.5,71.2,78.5,4.6,"(38.9076255443, -77.0492482515)",DC,6671.0,-77.0492482515,38.9076255443,36.8,33.2,11500
76,79.4,1150000-11001005600,27.3,18.6,3.7,4.8,69.3,4.9,13.6,70.7,7.0,1.8,2.0,3.4,27.0,8.9,25.6,14.8,70.8,14.2,9.8,16.2,6.8,81.1,71.0,76.0,6.1,"(38.9002079893, -77.0538622585)",DC,6756.0,-77.0538622585,38.9002079893,37.8,32.5,11500
77,79.7,1150000-11001005800,29.2,20.4,3.2,4.8,70.2,5.5,13.3,81.0,6.8,1.6,1.9,2.9,29.3,7.9,24.6,15.0,69.8,14.3,8.4,17.6,6.2,85.8,69.0,78.1,4.9,"(38.8978732774, -77.0250007021)",DC,2830.0,-77.0250007021,38.8978732774,35.6,34.4,11500
78,76.7,1150000-11001005900,30.4,16.2,2.3,3.1,68.6,4.1,12.8,74.2,5.5,1.3,1.5,1.8,21.9,8.7,28.8,12.9,64.6,10.1,8.8,17.6,6.2,84.4,68.8,81.0,7.4,"(38.8960049612, -77.0149463959)",DC,2998.0,-77.0149463959,38.8960049612,30.2,29.7,11500
80,42.7,1150000-11001006400,45.5,43.3,10.9,5.5,76.8,17.1,32.1,72.3,20.0,7.1,4.5,7.6,38.9,13.8,14.3,34.2,78.8,28.9,18.3,37.4,19.2,72.4,48.4,70.4,29.2,"(38.8686898335, -77.0114952748)",DC,2139.0,-77.0114952748,38.8686898335,20.7,16.5,11500
81,83.9,1150000-11001006500,26.9,18.7,2.9,5.2,70.6,4.4,11.6,82.4,5.9,1.4,1.8,2.7,27.7,8.2,27.4,12.4,69.6,14.6,8.1,17.5,4.4,88.9,74.2,80.5,3.9,"(38.8838117539, -77.0033906634)",DC,2531.0,-77.0033906634,38.8838117539,38.6,36.8,11500
82,86.1,1150000-11001006600,25.1,18.0,2.6,5.8,71.1,4.0,9.6,83.9,5.2,1.3,1.7,2.7,27.8,7.8,28.1,10.9,70.6,14.7,7.1,16.0,3.5,89.9,77.1,80.6,3.0,"(38.887703366, -76.9983053722)",DC,1909.0,-76.9983053722,38.887703366,40.6,38.9,11500
