,DENTAL,UniqueID,SLEEP,BPHIGH,COPD,CANCER,CHECKUP,DIABETES,CSMOKING,CHOLSCREEN,PHLTH,STROKE,KIDNEY,CHD,HIGHCHOL,CASTHMA,BINGE,LPA,BPMED,ARTHRITIS,MHLTH,OBESITY,ACCESS2,PAPTEST,COLON_SCREEN,MAMMOUSE,TEETHLOST,geometry,state,population,longitude,latitude,COREM,COREW,fips
123,83.5,1150000-11001008301,27.8,16.5,2.3,4.2,69.6,3.7,11.1,81.4,5.1,1.2,1.5,2.0,24.4,8.1,30.4,11.4,65.6,12.0,7.7,17.3,4.1,89.5,74.0,82.0,4.3,"(38.8970373408, -77.0008008935)",DC,2279.0,-77.0008008935,38.8970373408,35.8,34.6,11500
124,81.7,1150000-11001008302,28.5,21.0,2.9,5.0,71.4,5.3,12.1,81.9,6.3,1.8,2.0,2.8,27.3,8.5,26.8,13.3,72.0,15.0,8.3,18.9,4.8,88.6,72.8,80.8,5.7,"(38.8963061489, -76.9966527047)",DC,2206.0,-76.9966527047,38.8963061489,33.2,31.6,11500
125,73.4,1150000-11001008402,32.4,26.3,3.9,5.6,73.1,7.3,15.1,80.6,7.9,2.6,2.4,3.6,29.6,9.2,24.2,16.7,75.9,18.1,9.5,21.7,6.8,85.5,69.7,78.5,10.5,"(38.8986055682, -76.9910793891)",DC,2149.0,-76.9910793891,38.8986055682,29.8,27.6,11500
126,76.0,1150000-11001008410,35.0,26.2,3.1,4.6,75.1,7.1,14.3,81.6,7.1,2.2,2.2,3.0,27.6,9.1,24.7,15.9,74.0,15.9,8.9,23.4,6.4,89.4,72.3,83.3,8.0,"(38.9015530096, -76.9911172684)",DC,1489.0,-76.9911172684,38.9015530096,29.4,30.0,11500
127,66.2,1150000-11001008701,38.9,30.5,4.2,4.7,76.6,9.0,18.4,78.6,9.3,3.0,2.5,3.7,29.9,10.3,21.7,20.2,74.9,18.3,10.8,26.6,9.3,85.1,64.0,79.8,14.1,"(38.9140985417, -77.0062781095)",DC,2407.0,-77.0062781095,38.9140985417,27.3,25.5,11500
128,61.7,1150000-11001008702,40.8,36.9,6.3,5.1,77.0,12.3,23.0,78.9,13.0,4.3,3.2,5.2,34.3,11.2,18.5,24.9,77.0,22.9,13.1,31.8,12.0,83.7,61.1,78.6,15.6,"(38.914875287, -77.0014628972)",DC,1599.0,-77.0014628972,38.914875287,25.5,23.6,11500
129,58.7,1150000-11001008802,41.3,39.3,6.6,5.7,78.7,13.4,22.1,78.6,13.2,4.9,3.5,5.8,35.3,11.4,17.3,25.8,79.3,24.7,12.8,31.6,12.2,82.0,60.5,77.0,17.3,"(38.9039351886, -76.9866495537)",DC,4119.0,-76.9866495537,38.9039351886,24.6,22.0,11500
130,51.6,1150000-11001008803,40.1,26.5,6.9,2.7,68.5,9.4,30.2,58.5,13.8,3.4,2.7,4.0,29.0,12.4,21.3,26.9,67.7,15.8,18.0,29.7,18.0,71.5,49.5,72.5,21.7,"(38.9104297286, -76.9913365682)",DC,2037.0,-76.9913365682,38.9104297286,20.5,19.1,11500
131,55.3,1150000-11001008804,44.0,39.8,7.1,5.0,78.5,13.9,25.6,78.1,14.5,4.8,3.3,5.5,35.6,12.1,17.1,27.5,78.0,24.6,14.4,34.5,13.3,81.6,58.3,77.2,18.9,"(38.9102340252, -76.9812278031)",DC,2412.0,-76.9812278031,38.9102340252,23.2,21.5,11500
132,51.5,1150000-11001008903,44.4,42.8,8.7,5.3,78.8,15.8,28.1,76.1,16.9,6.0,3.9,6.6,37.2,12.9,14.9,30.9,79.1,27.0,15.8,36.4,15.9,79.3,56.3,75.0,22.1,"(38.9041111336, -76.9777112277)",DC,2633.0,-76.9777112277,38.9041111336,22.3,19.8,11500
133,54.1,1150000-11001008904,44.7,41.3,7.9,5.0,78.9,14.7,28.2,76.5,15.7,5.2,3.3,5.9,36.3,12.8,16.4,29.8,78.1,25.6,15.5,35.5,14.9,81.7,57.8,76.5,19.7,"(38.9009420937, -76.9748483102)",DC,3309.0,-76.9748483102,38.9009420937,23.0,22.1,11500
134,61.9,1150000-11001009000,39.2,46.2,7.7,7.9,82.5,16.5,19.3,82.8,14.0,6.1,4.2,7.5,40.0,11.4,13.8,26.8,84.8,31.0,11.6,30.5,11.2,82.7,67.7,78.1,16.1,"(38.9229021017, -76.9540208796)",DC,2732.0,-76.9540208796,38.9229021017,25.4,24.1,11500
135,56.5,1150000-11001009102,42.9,40.6,7.3,5.6,79.4,14.2,24.3,77.7,14.6,5.2,3.6,6.1,35.9,12.2,16.1,27.8,79.2,25.8,14.1,33.6,13.4,82.3,59.8,76.7,19.1,"(38.9187397669, -76.9889803818)",DC,4127.0,-76.9889803818,38.9187397669,23.9,21.8,11500
136,68.1,1150000-11001009201,35.0,24.1,4.4,3.9,72.4,7.3,18.9,69.6,9.1,2.5,2.2,3.6,27.8,10.8,23.2,19.5,71.2,15.3,12.3,23.2,10.2,82.9,63.8,77.0,12.5,"(38.9287750097, -76.9989366771)",DC,1976.0,-76.9989366771,38.9287750097,30.4,26.0,11500
137,66.4,1150000-11001009203,38.3,34.5,5.2,5.4,78.2,10.9,18.3,79.5,10.8,3.8,3.0,4.7,32.6,10.9,18.6,21.7,77.9,21.5,11.4,28.3,10.0,84.9,65.6,78.6,12.9,"(38.9219740441, -77.0055321679)",DC,2582.0,-77.0055321679,38.9219740441,27.7,25.6,11500
138,49.1,1150000-11001009204,43.2,42.7,9.4,5.8,77.5,16.7,28.1,74.7,17.7,6.4,4.2,7.5,38.9,12.6,15.2,32.1,80.1,28.3,16.0,35.6,18.3,77.4,55.5,73.1,23.6,"(38.923413086, -76.9987667506)",DC,2557.0,-76.9987667506,38.923413086,22.1,19.4,11500
139,73.3,1150000-11001009301,34.7,32.5,4.7,6.1,77.3,9.7,15.8,82.4,9.5,3.2,2.8,4.5,33.4,9.7,20.4,19.3,78.7,21.5,9.9,25.0,7.6,86.3,69.4,80.3,9.4,"(38.9307337568, -76.9863910021)",DC,3143.0,-76.9863910021,38.9307337568,29.4,28.5,11500
